Modality,OA,AA,Kappa
HS / LiDAR MS,0.6118,0.5466,0.5893
HS / LiDAR NDSM,0.6251,0.5535,0.6026
HS / VHR RGB,0.3283,0.2721,0.2869
LiDAR MS / LiDAR NDSM,0.6217,0.5560,0.6001
LiDAR MS / VHR RGB,0.6601,0.5813,0.6401
LiDAR NDSM / VHR RGB,0.4073,0.3561,0.3729
HS / LiDAR MS / LiDAR NDSM,0.6395,0.5730,0.6188
HS / LiDAR MS / VHR RGB,0.6546,0.5809,0.6345
HS / LiDAR NDSM / VHR RGB,0.3470,0.3001,0.307
LiDAR MS / LiDAR NDSM / VHR RGB,0.6672,0.5909,0.6476
HS / LiDAR MS / LiDAR NDSM / VHR RGB (All Modalities),0.6509,0.5759,0.6305
