Number of Selected Bands,OA,AA,Kappa
1,0.4334,0.3915,0.4012
2,0.3855,0.3310,0.3491
3,0.2728,0.2273,0.2315
4,0.4173,0.3501,0.3826
5,0.4939,0.4209,0.4631
6,0.5058,0.4475,0.4769
7,0.4378,0.3801,0.4054
8,0.5061,0.4461,0.4783
9,0.5104,0.4478,0.4819
10,0.4681,0.3906,0.4364
11,0.5232,0.4522,0.496
12,0.5370,0.4637,0.5092
13,0.4433,0.3634,0.4093
14,0.5340,0.4531,0.5057
15,0.5089,0.4235,0.4789
16,0.4787,0.4245,0.4501
17,0.5550,0.4968,0.5286
18,0.4586,0.4266,0.4302
19,0.4948,0.4267,0.4637
20,0.6179,0.5664,0.5956
21,0.5722,0.5408,0.5478
22,0.5490,0.4813,0.5213
23,0.5161,0.4799,0.4896
24,0.5406,0.4681,0.5135
25,0.5802,0.5312,0.5555
26,0.4821,0.4547,0.4508
27,0.6276,0.5909,0.6061
28,0.5456,0.5240,0.5198
29,0.5958,0.5526,0.5723
30,0.6503,0.5756,0.63
31,0.6701,0.6014,0.6509
32,0.4464,0.3972,0.4134
33,0.3330,0.2710,0.2916
34,0.4746,0.4437,0.4437
35,0.6167,0.5615,0.594
36,0.5516,0.4784,0.5245
37,0.6375,0.5717,0.617
38,0.6207,0.5559,0.5987
39,0.5739,0.5231,0.5487
40,0.6535,0.5761,0.6328
41,0.6300,0.5655,0.6087
42,0.3900,0.3355,0.3532
43,0.6563,0.5833,0.6361
44,0.6758,0.6053,0.6569
45,0.6334,0.5584,0.6117
46,0.6105,0.5461,0.5882
47,0.2475,0.2053,0.2008
48,0.5781,0.5227,0.5544
49,0.5997,0.5370,0.5758
50,0.6710,0.6185,0.6522
51,0.6681,0.5938,0.6487
52,0.6269,0.5583,0.6055
53,0.6020,0.5477,0.5789
54,0.6447,0.5754,0.6238
55,0.6716,0.6000,0.6526
