Number of Selected Bands,OA,AA,Kappa
1,0.2075,0.1806,0.162
2,0.3375,0.286,0.2987
3,0.4493,0.4189,0.4166
4,0.5101,0.4551,0.4807
5,0.5222,0.445,0.4937
6,0.5092,0.4472,0.4798
7,0.5669,0.496,0.5413
8,0.5362,0.4747,0.5082
9,0.5072,0.4584,0.4777
10,0.5461,0.4856,0.5193
11,0.571,0.5137,0.5452
12,0.5391,0.4851,0.5113
13,0.5337,0.4768,0.5062
14,0.5306,0.4729,0.5025
15,0.5646,0.5077,0.5391
16,0.5279,0.482,0.4999
17,0.5705,0.513,0.5452
18,0.5385,0.4817,0.5115
19,0.5527,0.5015,0.5266
20,0.553,0.5049,0.5269
21,0.5286,0.4806,0.5003
22,0.5346,0.4883,0.507
23,0.5584,0.5074,0.5321
24,0.5375,0.4937,0.5101
25,0.5373,0.4797,0.5103
26,0.5491,0.4859,0.5224
27,0.5489,0.5003,0.522
28,0.5478,0.4941,0.5209
29,0.5478,0.4969,0.5209
30,0.5553,0.4982,0.5292
31,0.5585,0.5065,0.5324
32,0.5472,0.4936,0.5206
33,0.5398,0.483,0.5129
34,0.5555,0.5009,0.5289
35,0.5518,0.4946,0.5254
36,0.5375,0.4937,0.5101
37,0.5265,0.4667,0.4982
38,0.5314,0.4822,0.5036
39,0.5453,0.4975,0.5187
40,0.5497,0.4943,0.5231
41,0.5526,0.5062,0.5264
42,0.5516,0.5062,0.5256
43,0.5771,0.525,0.5522
44,0.5669,0.5144,0.5414
45,0.5349,0.4928,0.5077
46,0.5466,0.5007,0.52
47,0.5404,0.4827,0.5132
48,0.5654,0.5068,0.5395
