Number of Selected Bands,OA,AA,Kappa
1,0.6243,0.5469,0.6024
2,0.6227,0.5523,0.6012
3,0.6330,0.5522,0.611
4,0.6773,0.5911,0.6578
5,0.6541,0.5772,0.6335
6,0.6767,0.5915,0.6575
7,0.6632,0.5838,0.6429
8,0.6902,0.6154,0.6717
9,0.6568,0.5865,0.6361
10,0.6609,0.5903,0.6408
11,0.6878,0.6207,0.6696
12,0.6609,0.5847,0.6408
13,0.6936,0.6276,0.6758
14,0.6791,0.6041,0.6599
15,0.6915,0.6234,0.6732
16,0.6860,0.6131,0.6671
17,0.6467,0.5712,0.6257
18,0.6783,0.6020,0.6591
19,0.6882,0.6136,0.6697
20,0.6867,0.6231,0.6682
21,0.6988,0.6276,0.6811
22,0.6725,0.5943,0.6532
23,0.6966,0.6316,0.6787
24,0.6842,0.6074,0.6653
25,0.6866,0.6247,0.6684
26,0.6957,0.6028,0.6776
27,0.6737,0.5923,0.654
28,0.6982,0.6346,0.6801
29,0.6909,0.6181,0.6723
30,0.7116,0.6360,0.6943
31,0.6831,0.6084,0.664
32,0.6659,0.6078,0.6461
33,0.6835,0.6247,0.6651
34,0.7157,0.6484,0.6989
35,0.6693,0.6009,0.6497
36,0.6791,0.6047,0.66
37,0.6818,0.6196,0.6631
38,0.6781,0.6152,0.6592
39,0.7112,0.6516,0.6941
40,0.6418,0.5592,0.6206
41,0.7025,0.6324,0.685
42,0.6598,0.6023,0.6397
43,0.6569,0.5945,0.6368
44,0.6770,0.6011,0.6582
45,0.6681,0.5934,0.6486
46,0.7143,0.6248,0.6975
47,0.6434,0.5713,0.6221
48,0.6830,0.6034,0.6643
